"Order","Level","Code","Parent","Code","Parent","Description","Remark"
"1824923","4","1100","920","CP01176","CP0117","Other tubers and products of tuber vegetables",
"1824924","3","1110","50","CP0118","CP011","Sugar, jam, honey, chocolate and confectionery",
"1824925","4","1120","1110","CP01181","CP0118","Sugar",
"1824926","5","1130","1120","CP01181A","CP01181","White sugar (1 kg)",
"1824927","4","1140","1110","CP01182","CP0118","Jams, marmalades and honey",
"1824928","5","1150","1140","CP01182A","CP01182","Jam (1 kg)",
"1824929","4","1160","1110","CP01183","CP0118","Chocolate",
"1824930","5","1170","1160","CP01183A","CP01183","Chocolate, milk (1 kg)",
"1824931","4","1180","1110","CP01184","CP0118","Confectionery products",
"1824932","5","1190","1180","CP01184A","CP01184","Chewing gum (1 package)",
"1824933","4","1200","1110","CP01185","CP0118","Edible ices and ice cream",
"1824934","5","1210","1200","CP01185A","CP01185","Ice cream (1 l)",
"1824935","4","1220","1110","CP01186","CP0118","Artificial sugar substitutes",
"1824936","5","1230","1220","CP01186A","CP01186","Other sugar products",
"1824937","3","1240","50","CP0119","CP011","Food products n.e.c.",
"1824938","4","1250","1240","CP01191","CP0119","Sauces, condiments",
"1824939","5","1260","1250","CP01191A","CP01191","Tomato ketchup (1 kg)",
"1824940","4","1270","1240","CP01192","CP0119","Salt, spices and culinary herbs",
"1824941","5","1280","1270","CP01192A","CP01192","Mineral salt (1 kg)",
"1824942","5","1290","1270","CP01192B","CP01192","Black pepper (100 g)",
"1824943","4","1300","1240","CP01193","CP0119","Baby food",
"1824944","5","1310","1300","CP01193A","CP01193","Baby food, meat base (500 g)",
"1824945","4","1320","1240","CP01194","CP0119","Ready-made meals",
"1824946","4","1330","1240","CP01199","CP0119","Other food products n.e.c.",
"1824947","5","1340","1330","CP01199A","CP01199","Baker's yeast, dessert preparations, soups",
"1824948","2","1350","40","CP012","CP01","Non-alcoholic beverages",
"1824949","3","1360","1350","CP0121","CP012","Coffee, tea and cocoa",
"1824950","4","1370","1360","CP01211","CP0121","Coffee",
"1824951","5","1380","1370","CP01211A","CP01211","Coffee (1 kg)",
"1824952","4","1390","1360","CP01212","CP0121","Tea",
"1824953","5","1400","1390","CP01212A","CP01212","Black tea (25 bags)",
"1824954","4","1410","1360","CP01213","CP0121","Cocoa and powdered chocolate",
"1824955","5","1420","1410","CP01213A","CP01213","Cocoa instant drink, powder (1 kg)",
"1824956","3","1430","1350","CP0122","CP012","Mineral waters, soft drinks, fruit and vegetable juices",
"1824957","4","1440","1430","CP01221","CP0122","Mineral or spring waters",
"1824958","5","1450","1440","CP01221A","CP01221","Mineral water, carbonated (1 l)",
"1824959","5","1460","1440","CP01221B","CP01221","Mineral water, still (1 l)",
"1824960","4","1470","1430","CP01222","CP0122","Soft drinks",
"1824961","5","1480","1470","CP01222A","CP01222","Carbonated drink, orange flavoured (1 l)",
"1824962","4","1490","1430","CP01223","CP0122","Fruit and vegetables juices",
"1824963","5","1500","1490","CP01223A","CP01223","Fruit juices",
"1824964","5","1510","1490","CP01223B","CP01223","Orange juice (1 l)",
"1824965","5","1520","1490","CP01223C","CP01223","Vegetable juices",
"1824966","1","1530",,"CP02",,"Alcoholic beverages, tobacco and narcotics",
"1824967","2","1540","1530","CP021","CP02","Alcoholic beverages",
"1824968","3","1550","1540","CP0211","CP021","Spirits",
"1824969","4","1560","1550","CP02111","CP0211","Spirits and liqueurs",
"1824970","5","1570","1560","CP02111A","CP02111","Vodka (1 l)",
"1824971","4","1580","1550","CP02112","CP0211","Alcoholic soft drinks",
"1824972","3","1590","1540","CP0212","CP021","Wine",
"1824973","4","1600","1590","CP02121","CP0212","Wine from grapes",
"1824974","5","1610","1600","CP02121A","CP02121","Red wine (0.75 l)",
"1824975","5","1620","1600","CP02121B","CP02121","White wine (0.75 l)",
"1824976","4","1630","1590","CP02122","CP0212","Wine from other fruits",
"1824977","4","1640","1590","CP02123","CP0212","Fortified wines",
"1824978","4","1650","1590","CP02124","CP0212","Wine-based drinks",
"1824979","3","1660","1540","CP0213","CP021","Beer",
"1824980","4","1670","1660","CP02131","CP0213","Lager beer",
"1824981","5","1680","1670","CP02131A","CP02131","Beer (1 l)",
"1824982","4","1690","1660","CP02132","CP0213","Other alcoholic beer",
"1824983","4","1700","1660","CP02133","CP0213","Low and non-alcoholic beer",
"1824984","4","1710","1660","CP02134","CP0213","Beer-based drinks",
"1824985","2","1720","1530","CP022","CP02","Tobacco",
"1824986","3","1730","1720","CP0220","CP022","Tobacco",
"1824987","4","1740","1730","CP02201","CP0220","Cigarettes",
"1824988","5","1750","1740","CP02201A","CP02201","Cigarettes (20 cigarettes)",
"1824989","4","1760","1730","CP02202","CP0220","Cigars",
"1824990","4","1770","1730","CP02203","CP0220","Other tobacco products",
"1824991","2","1780","1530","CP023","CP02","Narcotics",
"1824992","3","1790","1780","CP0230","CP023","Narcotics",
"1824993","4","1800","1790","CP02300","CP0230","Narcotics",
"1824994","1","1810",,"CP03",,"Clothing and footwear",
"1824995","2","1820","1810","CP031","CP03","Clothing",
"1824996","3","1830","1820","CP0311","CP031","Clothing materials",
"1824997","4","1840","1830","CP03110","CP0311","Clothing materials",
"1824998","5","1850","1840","CP03110A","CP03110","Cotton (1 m2)",
"1824999","3","1860","1820","CP0312","CP031","Garments",
"1825000","4","1870","1860","CP03121","CP0312","Garments for men",
"1825001","5","1880","1870","CP03121A","CP03121","Men's suit, wool (1 suit)",
"1825002","5","1890","1870","CP03121B","CP03121","Men's trousers (1 piece)",
"1825003","5","1900","1870","CP03121C","CP03121","Men's blue jeans (1 piece)",
"1825004","5","1910","1870","CP03121D","CP03121","Men's shirt (1 piece)",
"1825005","5","1920","1870","CP03121E","CP03121","Men's T-shirt, short sleeves (1 piece)",
"1825006","5","1930","1870","CP03121F","CP03121","Men's boxer briefs (1 piece)",
"1825007","4","1940","1860","CP03122","CP0312","Garments for women",
"1825008","5","1950","1940","CP03122A","CP03122","Ladies' top coat (1 piece)",
"1825009","5","1960","1940","CP03122B","CP03122","Ladies' blazer, woolmix (1 piece)",
"1825010","5","1970","1940","CP03122C","CP03122","Ladies' straight trousers, synthetic (1 piece)",
"1825011","5","1980","1940","CP03122D","CP03122","Ladies' jeans (1 piece)",
"1825012","5","1990","1940","CP03122E","CP03122","Ladies' skirt (1 piece)",
"1825013","5","2000","1940","CP03122F","CP03122","Ladies' blouse (1 piece)",
"1825014","5","2010","1940","CP03122G","CP03122","Ladies' T-shirt (1 piece)",
"1825015","5","2020","1940","CP03122H","CP03122","Ladies' pullover (1 piece)",
"1825016","5","2030","1940","CP03122I","CP03122","Brassiere, push-up (1 piece)",
"1825017","5","2040","1940","CP03122J","CP03122","Tights (1 piece)",
"1825018","5","2050","1940","CP03122K","CP03122","Ladies bikini (1 set)",
"1825019","4","2060","1860","CP03123","CP0312","Garments for infants (0 to 2 years) and children (3 to 13 years)",
"1825020","5","2070","2060","CP03123A","CP03123","Children' s jeans trousers (1 piece)",
"1825021","5","2080","2060","CP03123B","CP03123","Children' T-shirt, long sleeves (1 piece)",
"1825022","5","2090","2060","CP03123C","CP03123","Girls' skirt (1 piece)",
"1825023","5","2100","2060","CP03123D","CP03123","Girls' tights (1 piece)",
"1825024","5","2110","2060","CP03123E","CP03123","Boys' socks (1 pair)",
"1825025","5","2120","2060","CP03123F","CP03123","Children' socks (1 pair)",
"1825026","3","2130","1820","CP0313","CP031","Other articles of clothing and clothing accessories",
"1825027","4","2140","2130","CP03131","CP0313","Other articles of clothing",
"1825028","4","2150","2130","CP03132","CP0313","Clothing accessories",
"1825029","3","2160","1820","CP0314","CP031","Cleaning, repair and hire of clothing",
"1825030","4","2170","2160","CP03141","CP0314","Cleaning of clothing",
"1825031","5","2180","2170","CP03141A","CP03141","Dry cleaning (1 service)",
"1825032","4","2190","2160","CP03142","CP0314","Repair and hire of clothing",
"1825033","2","2200","1810","CP032","CP03","Footwear",
"1825034","3","2210","2200","CP0321_0322","CP032","Shoes and other footwear; repair and hire of footwear",
"1825035","3","2220","2200","CP0321","CP032","Shoes and other footwear",
"1825036","4","2230","2220","CP03211","CP0321","Footwear for men",
"1825037","5","2240","2230","CP03211A","CP03211","Men's lace-up shoes (1 pair)",
"1825038","5","2250","2230","CP03211B","CP03211","Men's street shoes (1 pair)",
"1825039","4","2260","2220","CP03212","CP0321","Footwear for women",
"1825040","5","2270","2260","CP03212A","CP03212","Ladies' conventional court shoes (1 pair)",
"1825041","5","2280","2260","CP03212B","CP03212","Ladies' long boots (1 pair)",
"1825042","4","2290","2220","CP03213","CP0321","Footwear for infants and children",
"1825043","5","2300","2290","CP03213A","CP03213","Children's sport shoes (1 pair)",
"1825044","3","2310","2200","CP0322","CP032","Repair and hire of footwear",
"1825045","4","2320","2310","CP03220","CP0322","Repair and hire of footwear",
"1825046","5","2330","2320","CP03220A","CP03220","Services, Cobbler (1 service)",
"1825047","1","2340",,"CP04",,"Housing, water, electricity, gas and other fuels",
"1825048","2","2350","2340","CP041","CP04","Actual rentals for housing",
"1825049","3","2360","2350","CP0411_0412","CP041","Actual rentals paid by tenants; other actual rentals",
"1825050","3","2370","2350","CP0411","CP041","Actual rentals paid by tenants",
"1825051","4","2380","2370","CP04110","CP0411","Actual rentals paid by tenants",
"1825052","3","2390","2350","CP0412","CP041","Other actual rentals",
"1825053","4","2400","2390","CP04121","CP0412","Actual rentals paid by tenants for secondary residences",
"1825054","4","2410","2390","CP04122","CP0412","Garage rentals and other rentals paid by tenants",
"1825055","2","2420","2340","CP042","CP04","Imputed rentals for housing",
"1825056","3","2430","2420","CP0421","CP042","Imputed rentals of owner-occupiers",
"1825057","4","2440","2430","CP04210","CP0421","Imputed rentals of owner-occupiers",
"1825058","3","2450","2420","CP0422","CP042","Other imputed rentals",
"1825059","4","2460","2450","CP04220","CP0422","Other imputed rentals",
"1825060","2","2470","2340","CP043","CP04","Maintenance and repair of the dwelling",
"1825061","3","2480","2470","CP0431","CP043","Materials for the maintenance and repair of the dwelling",
"1825062","4","2490","2480","CP04310","CP0431","Materials for the maintenance and repair of the dwelling",
"1825063","5","2500","2490","CP04310A","CP04310","Paint, indoor use (10 l)",
"1825064","5","2510","2490","CP04310B","CP04310","Silicone (300 ml)",
"1825065","5","2520","2490","CP04310C","CP04310","Cement (25 kg)",
"1825066","3","2530","2470","CP0432","CP043","Services for the maintenance and repair of the dwelling",
"1825067","4","2540","2530","CP04321","CP0432","Services of plumbers",
"1825068","4","2550","2530","CP04322","CP0432","Services of electricians",
"1825069","4","2560","2530","CP04323","CP0432","Maintenance services for heating systems",
"1825070","4","2570","2530","CP04324","CP0432","Services of painters",
"1825071","4","2580","2530","CP04325","CP0432","Services of carpenters",
"1825072","4","2590","2530","CP04329","CP0432","Other services for maintenance and repair of the dwelling",
"1825073","2","2600","2340","CP044","CP04","Water supply and miscellaneous services relating to the dwelling",
"1825074","3","2610","2600","CP0441","CP044","Water supply",
"1825075","4","2620","2610","CP04410","CP0441","Water supply",
"1825076","3","2630","2600","CP0442","CP044","Refuse collection",
"1825077","4","2640","2630","CP04420","CP0442","Refuse collection",
"1825078","3","2650","2600","CP0443","CP044","Sewerage collection",
"1825079","4","2660","2650","CP04430","CP0443","Sewerage collection",
"1825080","3","2670","2600","CP0444","CP044","Other services relating to the dwelling n.e.c.",
"1825081","4","2680","2670","CP04441","CP0444","Maintenance charges in multi-occupied buildings",
"1825082","4","2690","2670","CP04442","CP0444","Security services",
"1825083","4","2700","2670","CP04449","CP0444","Other services related to dwelling",
"1825084","2","2710","2340","CP045","CP04","Electricity, gas and other fuels",
"1825085","3","2720","2710","CP0451","CP045","Electricity",
"1825086","4","2730","2720","CP04510","CP0451","Electricity",
"1825087","3","2740","2710","CP0452","CP045","Gas",
"1825088","4","2750","2740","CP04521","CP0452","Natural gas and town gas",
"1825089","4","2760","2740","CP04522","CP0452","Liquefied hydrocarbons (butane, propane, etc.)",
"1825090","3","2770","2710","CP0453","CP045","Liquid fuels",
"1825091","4","2780","2770","CP04530","CP0453","Liquid fuels",
"1825092","3","2790","2710","CP0454","CP045","Solid fuels",
"1825093","4","2800","2790","CP04541","CP0454","Coal",
"1825094","4","2810","2790","CP04549","CP0454","Other solid fuels",
"1825095","3","2820","2710","CP0455","CP045","Heat energy",
"1825096","4","2830","2820","CP04550","CP0455","Heat energy",
"1825097","1","2840",,"CP05",,"Furnishings, household equipment and routine household maintenance",
"1825098","2","2850","2840","CP051","CP05","Furniture and furnishings, carpets and other floor coverings",
"1825099","3","2860","2850","CP0511","CP051","Furniture and furnishings",
"1825100","4","2870","2860","CP05111","CP0511","Household furniture",
"1825101","5","2880","2870","CP05111A","CP05111","Double bed frame, pressboard (1 piece)",
"1825102","5","2890","2870","CP05111B","CP05111","Sofa set (1 set)",
"1825103","5","2900","2870","CP05111C","CP05111","Kitchen table (1 piece)",
"1825104","5","2910","2870","CP05111D","CP05111","Kitchen chair (1 piece)",
"1825105","5","2920","2870","CP05111E","CP05111","Pocket spring mattress (1 piece)",
"1825106","5","2930","2870","CP05111F","CP05111","Wardrobe (1 piece)",
"1825107","5","2940","2870","CP05111G","CP05111","Armchair (1 piece)",
"1825108","5","2950","2870","CP05111H","CP05111","Coffee table (1 piece)",
"1825109","5","2960","2870","CP05111I","CP05111","Bookcase (1 piece)",
"1825110","4","2970","2860","CP05112","CP0511","Garden furniture",
"1825111","4","2980","2860","CP05113","CP0511","Lighting equipment",
"1825112","5","2990","2980","CP05113A","CP05113","Table lamp (1 piece)",
"1825113","4","3000","2860","CP05119","CP0511","Other furniture and furnishings",
"1825114","3","3010","2850","CP0512","CP051","Carpets and other floor coverings",
"1825115","4","3020","3010","CP05121","CP0512","Carpet and rugs",
"1825116","4","3030","3010","CP05122","CP0512","Other floor coverings",
"1825117","4","3040","3010","CP05123","CP0512","Services of laying of fitted carpets and floor coverings",
"1825118","3","3050","2850","CP0513","CP051","Repair of furniture, furnishings and floor coverings",
"1825119","4","3060","3050","CP05130","CP0513","Repair of furniture, furnishings and floor coverings",
"1825120","2","3070","2840","CP052","CP05","Household textiles",
"1825121","3","3080","3070","CP0520","CP052","Household textiles",
"1825122","4","3090","3080","CP05201","CP0520","Furnishings fabrics and curtains",
"1825123","5","3100","3090","CP05201A","CP05201","Curtain material (1 m2)",
"1825124","4","3110","3080","CP05202","CP0520","Bed linen",
"1825125","5","3120","3110","CP05202A","CP05202","Duvet (1 piece)",
"1825126","5","3130","3110","CP05202B","CP05202","Bedlinen (1 set)",
"1825127","5","3140","3110","CP05202C","CP05202","Blanket (1 piece)",
"1825128","4","3150","3080","CP05203","CP0520","Table linen and bathroom linen",
"1825129","5","3160","3150","CP05203A","CP05203","Towel (1 piece)",
"1825130","4","3170","3080","CP05204","CP0520","Repair of household textiles",
"1825131","4","3180","3080","CP05209","CP0520","Other household textiles",
"1825132","2","3190","2840","CP053","CP05","Household appliances",
"1825133","3","3200","3190","CP0531_0532","CP053","Major household appliances whether electric or not and small electric household appliances",
"1825134","3","3210","3190","CP0531","CP053","Major household appliances whether electric or not",
"1825135","4","3220","3210","CP05311","CP0531","Refrigerators, freezers and fridge-freezers",
"1825136","5","3230","3220","CP05311A","CP05311","Refrigerator, undercounter, with freezer (1 piece)",
"1825137","6","3240","3230","CP05311A1","CP05311A","Refrigerator, undercounter, with freezer, energy efficiency A/A+ (1 piece)",
"1825138","6","3250","3230","CP05311A2","CP05311A","Refrigerator, undercounter, with freezer, energy efficiency A+/A++ (1 piece)",
"1825139","5","3260","3220","CP05311B1","CP05311","Fridge-freezer, energy efficiency A (1 piece)",
"1825140","5","3270","3220","CP05311B2","CP05311","Fridge-freezer, energy efficiency A+ (1 piece)",
"1825141","4","3280","3210","CP05312","CP0531","Clothes washing machines, clothes drying machines and dish washing machines",
"1825142","5","3290","3280","CP05312A1","CP05312","Washing machine, 4.5-5 kg (1 piece)",
"1825143","5","3300","3280","CP05312A2","CP05312","Washing machine, 6-7 kg, energy efficiency A/A+ (1 piece)",
"1825144","5","3310","3280","CP05312A3","CP05312","Washing machine, 6-7 kg, energy efficiency A++/A+++ (1 piece)",
"1825145","4","3320","3210","CP05313","CP0531","Cookers",
"1825146","5","3330","3320","CP05313A","CP05313","Microwave oven (1 piece)",
"1825147","4","3340","3210","CP05314","CP0531","Heaters, air conditioners",
"1825148","4","3350","3210","CP05315","CP0531","Cleaning equipment",
"1825149","5","3360","3350","CP05315A1","CP05315","Vacuum cleaner, 1400-1600 W (1 piece)",
"1825150","5","3370","3350","CP05315A2","CP05315","Vacuum cleaner, 1600-2000 W (1 piece)",
"1825151","5","3380","3350","CP05315A3","CP05315","Vacuum cleaner, 1600-2200 W (1 piece)",
"1825152","5","3390","3350","CP05315A4","CP05315","Vacuum cleaner, 1400 W (1 piece)",
"1825153","4","3400","3210","CP05319","CP0531","Other major household appliances",
"1825154","3","3410","3190","CP0532","CP053","Small electric household appliances",
"1825155","4","3420","3410","CP05321","CP0532","Food processing appliances",
"1825156","4","3430","3410","CP05322","CP0532","Coffee machines, tea-makers and similar appliances",
"1825157","5","3440","3430","CP05322A1","CP05322","Kettle, 1.5l (1 piece)",
"1825158","5","3450","3430","CP05322A2","CP05322","Kettle, 1.7l (1 piece)",
"1825159","4","3460","3410","CP05323","CP0532","Irons",
"1825160","4","3470","3410","CP05324","CP0532","Toasters and grills",
"1825161","4","3480","3410","CP05329","CP0532","Other small electric household appliances",
"1825162","3","3490","3190","CP0533","CP053","Repair of household appliances",
"1825163","4","3500","3490","CP05330","CP0533","Repair of household appliances",
"1825164","2","3510","2840","CP054","CP05","Glassware, tableware and household utensils",
"1825165","3","3520","3510","CP0540","CP054","Glassware, tableware and household utensils",
"1825166","4","3530","3520","CP05401","CP0540","Glassware, crystal-ware, ceramic ware and chinaware",
"1825167","5","3540","3530","CP05401A","CP05401","Glass for water (1 piece)",
"1825168","5","3550","3530","CP05401B","CP05401","Flat plate (1 piece)",
"1825169","5","3560","3530","CP05401C","CP05401","Cup and saucer (1 set)",
"1825170","4","3570","3520","CP05402","CP0540","Cutlery, flatware and silverware",
"1825171","4","3580","3520","CP05403","CP0540","Non-electric kitchen utensils and articles",
"1825172","5","3590","3580","CP05403A","CP05403","Cooking pot, stainless steel (1 set)",
"1825173","4","3600","3520","CP05404","CP0540","Repair of glassware, tableware and household utensils",
"1825174","2","3610","2840","CP055","CP05","Tools and equipment for house and garden",
"1825175","3","3620","3610","CP0551_0552","CP055","Major tools and equipment; small tools and miscellaneous accessories",
"1825176","3","3630","3610","CP0551","CP055","Major tools and equipment",
"1825177","4","3640","3630","CP05511","CP0551","Motorized major tools and equipment",
"1825178","4","3650","3630","CP05512","CP0551","Repair, leasing and rental of major tools and equipment",
"1825179","3","3660","3610","CP0552","CP055","Small tools and miscellaneous accessories",
"1825180","4","3670","3660","CP05521","CP0552","Non-motorised small tools",
"1825181","4","3680","3660","CP05522","CP0552","Miscellaneous small tool accessories",
"1825182","5","3690","3680","CP05522A","CP05522","Battery (1 piece)",
"1825183","5","3700","3680","CP05522B","CP05522","Light bulb, standard (1 piece)",
"1825184","5","3710","3680","CP05522C","CP05522","Light bulb energy saving type (1 piece)",
"1825185","4","3720","3660","CP05523","CP0552","Repair of non-motorised small tools and miscellaneous accessories",
"1825186","2","3730","2840","CP056","CP05","Goods and services for routine household maintenance",
"1825187","3","3740","3730","CP0561","CP056","Non-durable household goods",
"1825188","4","3750","3740","CP05611","CP0561","Cleaning and maintenance products",
"1825189","5","3760","3750","CP05611A","CP05611","Dish washer tablets (10 tablets)",
"1825190","5","3770","3750","CP05611B","CP05611","Detergent for washing machine, concentrated (1 kg)",
"1825191","5","3780","3750","CP05611C","CP05611","Detergent for washing machine, unconcentrated (1 kg)",
"1825192","5","3790","3750","CP05611D","CP05611","All-purposes household cleaner (1 l)",
"1825193","5","3800","3750","CP05611E","CP05611","Cleaner for WC (1 l)",
"1825194","5","3810","3750","CP05611F","CP05611","Cleaning liquid for windows (1 l)",
"1825195","5","3820","3750","CP05611G1","CP05611","Detergent for washing machine, powder, 70-90 g/wash (1 kg)",
"1825196","5","3830","3750","CP05611G2","CP05611","Detergent for washing machine, powder, > 90 g/wash (1 kg)",
"1825197","4","3840","3740","CP05612","CP0561","Other non-durable small household articles",
"1825198","5","3850","3840","CP05612A","CP05612","Scourer sponge (1 piece)",
