Level,Code,Description
3,CP0211,Spirits
4,CP02111,Spirits and liqueurs
5,CP02111A,Vodka (1 l)
4,CP02112,Alcoholic soft drinks
3,CP0212,Wine
4,CP02121,Wine from grapes
5,CP02121A,Red wine (0.75 l)
5,CP02121B,White wine (0.75 l)
4,CP02122,Wine from other fruits
4,CP02123,Fortified wines
4,CP02124,Wine-based drinks
3,CP0213,Beer
4,CP02131,Lager beer
5,CP02131A,Beer (1 l)
4,CP02132,Other alcoholic beer
4,CP02133,Low and non-alcoholic beer
4,CP02134,Beer-based drinks
2,CP022,Tobacco
3,CP0220,Tobacco
4,CP02201,Cigarettes
5,CP02201A,Cigarettes (20 cigarettes)
4,CP02202,Cigars
4,CP02203,Other tobacco products
2,CP023,Narcotics
3,CP0230,Narcotics
4,CP02300,Narcotics
2,CP054,"Glassware, tableware and household utensils"
3,CP0540,"Glassware, tableware and household utensils"
4,CP05401,"Glassware, crystal-ware, ceramic ware and chinaware"
5,CP05401A,Glass for water (1 piece)
5,CP05401B,Flat plate (1 piece)
5,CP05401C,Cup and saucer (1 set)
4,CP05402,"Cutlery, flatware and silverware"
4,CP05403,Non-electric kitchen utensils and articles
5,CP05403A,"Cooking pot, stainless steel (1 set)"
4,CP05404,"Repair of glassware, tableware and household utensils"
2,CP055,Tools and equipment for house and garden
3,CP0551_0552,Major tools and equipment; small tools and miscellaneous accessories
3,CP0551,Major tools and equipment
4,CP05511,Motorized major tools and equipment
4,CP05512,"Repair, leasing and rental of major tools and equipment"
3,CP0552,Small tools and miscellaneous accessories
4,CP05521,Non-motorised small tools
4,CP05522,Miscellaneous small tool accessories
5,CP05522A,Battery (1 piece)
5,CP05522B,"Light bulb, standard (1 piece)"
5,CP05522C,Light bulb energy saving type (1 piece)
4,CP05523,Repair of non-motorised small tools and miscellaneous accessories
2,CP056,Goods and services for routine household maintenance
3,CP0561,Non-durable household goods
4,CP05611,Cleaning and maintenance products
5,CP05611A,Dish washer tablets (10 tablets)
5,CP05611B,"Detergent for washing machine, concentrated (1 kg)"
5,CP05611C,"Detergent for washing machine, unconcentrated (1 kg)"
5,CP05611D,All-purposes household cleaner (1 l)
5,CP05611E,Cleaner for WC (1 l)
5,CP05611F,Cleaning liquid for windows (1 l)
5,CP05611G,"Detergent for washing machine, powder, 70-90 g/wash (1 kg)"
5,CP05611H,"Detergent for washing machine, powder, > 90 g/wash (1 kg)"
4,CP05612,Other non-durable small household articles
5,CP05612A,Scourer sponge (1 piece)
3,CP0562,Domestic services and household services
4,CP05621,Domestic services by paid staff
4,CP05622,Cleaning services
4,CP05623,Hire of furniture and furnishings
4,CP05629,Other domestic services and household services
1,CP06,Health
2,CP061,"Medical products, appliances and equipment"
3,CP0611,Pharmaceutical products
4,CP06110,Pharmaceutical products
5,CP06110A,Acetylsalicylic acid (10 tablets)
5,CP06110B,Aciclovir (2 g)
5,CP06110C,Alprazolam (10 tablets)
5,CP06110D,Atorvastatin (10 tablets)
5,CP06110E,Cetirizine (10 tablets)
5,CP06110F,Ciprofloxacin (10 tablets)
5,CP06110G,Clopidogrel (10 tablets)
5,CP06110H,Diclofenac (100 g)
5,CP06110I,Enalapril-Hydrochlorothiazide/HCTZ (10 tablets)
5,CP06110J,Esomeprazole (10 tablets)
5,CP06110K,Latanoprost (10 ml)
5,CP06110L,Montelukast (10 tablets)
5,CP06110M,Paracetamol (10 tablets)
5,CP06110N,Risedronate (10 tablets)
3,CP0612_0613,"Other medical products, therapeutic appliances and equipment"
3,CP0612,Other medical products
4,CP06121,Pregnancy tests and mechanical contraceptive devices
5,CP06121A,Pregnancy test (1 piece)
5,CP06121B,Condoms (3 pieces)
4,CP06129,Other medical products n.e.c.
5,CP06129A,Plaster strips (10 strips)
5,CP06129B,Joint bandage (1 m)
5,CP06129C,Knee support (1 piece)
5,CP06129D,Digital stick thermometer (1 piece)
3,CP0613,Therapeutic appliances and equipment
4,CP06131,Corrective eye-glasses and contact lenses
4,CP06132,Hearing aids
4,CP06133,Repair of therapeutic appliances and equipment
4,CP06139,Other therapeutic appliances and equipment
3,CP0922,Musical instruments and major durables for indoor recreation
4,CP09221,Musical instruments
2,CP093,"Other recreational items and equipment, gardens and pets"
3,CP0931,"Games, toys and hobbies"
4,CP09311,Games and hobbies
5,CP09311A,"Board game, Monopoly (1 piece)"
5,CP09311B,"Video game, PlayStation 3 (1 piece)"
4,CP09312,Toys and celebration articles
3,CP0933,"Gardens, plants and flowers"
4,CP09331,Garden products
5,CP09331A,Potting soil (10 l)
4,CP09332,Plants and flowers
3,CP0934_0935,Pets and related products; veterinary and other services for pets
3,CP0934,Pets and related products
4,CP09341,Purchase of pets
4,CP09342,Products for pets
5,CP09342A,"Dog food, meat (1 kg)"
5,CP09342B,Dog food dry (1 kg)
2,CP095,"Newspapers, books and stationery"
3,CP0951,Books
4,CP09511,Fiction books
5,CP09511A,"Novel, Top 5 (1 book)"
4,CP09512,Educational text books
4,CP09513,Other non-fiction books
4,CP09514,Binding services and E-book downloads
3,CP0952,Newspapers and periodicals
4,CP09521,Newspapers
5,CP09521A,Daily newspaper (1 piece)
4,CP09522,Magazines and periodicals
5,CP09522A,"Magazine, weekly, gossip (1 copy)"
3,CP0953_0954,Miscellaneous printed matter; stationery and drawing materials
3,CP0953,Miscellaneous printed matter
4,CP09530,Miscellaneous printed matter
3,CP0954,Stationery and drawing materials
4,CP09541,Paper products
5,CP09541A,"Paper, DIN A4 (500 sheets)"
5,CP09541B,Pencil (1 piece)
4,CP09549,Other stationery and drawing materials
1,CP12,Miscellaneous goods and services
2,CP121,Personal care
4,CP12113,Personal grooming treatments
3,CP1212_1213,"Electrical appliances for personal care; other appliances, articles and products for personal care"
3,CP1212,Electrical appliances for personal care
4,CP12121,Electric appliances for personal care
5,CP12121A,Electric razor (1 piece)
5,CP12121B,Electric toothbrush (1 set)
3,CP1213,"Other appliances, articles and products for personal care"
4,CP12131,Non-electrical appliances
5,CP12131A,"Cartridges for safety razor, men (5 cartridges)"
4,CP12132,"Articles for personal hygiene and wellness, esoteric products and beauty products"
5,CP12132A,Shampoo (400 ml)
5,CP12132B,Tooth paste (100 ml)
5,CP12132C,"Toilet soap, liquid (200 ml)"
5,CP12132D,Shower gel (300 ml)
5,CP12132E,Deodorant (50 ml)
5,CP12132F,Tampons (10 pieces)
5,CP12132G,Disposable nappies (50 pieces)
5,CP12132H,Cotton buds (100 pieces)
5,CP12132I,Manual toothbrush (1 piece)
5,CP12132J,Toilet paper (10 rolls)
2,CP123,Personal effects n.e.c.
3,CP1232,Other personal effects
4,CP12322,Articles for babies
